"Schumer  Charles E.",1036,14858,NA
"Seiberling  John F.",1040,13040,NA
"Sensenbrenner   James  Jr.",1041,14657,NA
"Shamansky  Bob",1044,14859,NA
"Shannon  James M.",1045,14658,NA
"Sharp  Philip R.",1046,14274,NA
"Shaw  E. Clay  Jr.",1047,14860,NA
"Shelby  Richard C.",1049,14659,NA
"Shumway  Norman D.",1054,14660,NA
"Shuster  Bud",1055,14052,NA
"Siljander  Mark D.",1058,14872,NA
"Simon  Paul",1059,14275,NA
"Skeen  Joe",1063,14861,NA
"Skelton  Ike",1064,14451,NA
"Smith  Albert L.  Jr.",1070,14862,NA
"Smith  Christopher H.",1071,14863,NA
"Smith  Denny",1072,14864,NA
"Smith  Joseph F.",1074,14876,NA
"Smith  Neal Edward",1079,8672,NA
"Smith  Virginia",1084,14276,NA
"Snowe  Olympia J.",1085,14661,NA
"Snyder  M. G. (Gene)",1086,10626,NA
"Solarz  Stephen J.",1087,14277,NA
"Solomon  Gerald B. H.",1088,14662,NA
"Spence  Floyd",1091,13042,NA
"St Germain  Fernand J.",1093,10561,NA
"Stangeland  Arlan",1098,14466,NA
"Stanton  J. William",1099,10773,NA
"Stark  Fortney Pete",1101,14053,NA
"Staton  David Michael",1102,14865,NA
"Stenholm  Charles W.",1110,14664,NA
"Stockman  David A.",1113,14453,NA
"Stokes  Louis",1115,12030,NA
"Stratton  Samuel S.",1117,9017,NA
"Studds  Gerry E.",1121,14055,NA
"Stump  Bob",1122,94454,NA
"Sunia  Foto I. F.",1126,NA4,NA
"Swift  Al",1129,14666,NA
"Synar  Mike",1133,14667,NA
"Tauke  Thomas Joseph",1139,14668,NA
"Tauzin  W. J. (Billy)",1140,14679,NA
"Taylor  G.",1143,14057,NA
"Thomas  William M.",1148,14669,NA
"Traxler  Bob",1167,14075,NA
"Trible  Paul S.  Jr.",1169,14456,NA
"Udall  Morris K.",1173,10566,NA
"Vander Jagt  Guy",1180,10794,NA
"Vento  Bruce F.",1185,14458,NA
"Volkmer  Harold L.",1189,14459,NA
"Walgren  Doug",1195,14460,NA
"Walker  Robert S.",1196,14461,NA
"Wampler  William C.",1200,9802,NA
"Washington  Harold",1204,14866,NA
"Watkins  Wes",1206,14462,NA
"Waxman  Henry A.",1209,14280,NA
"Weaver  James H.",1210,14281,NA
"Weber  Ed",1211,14867,NA
"Weber  Vin",1212,14868,NA
"Weiss  Ted",1213,14463,NA
"White  Richard C.",1219,10783,NA
"Whitehurst  G. William",1221,12033,NA
"Whitley  Charles O.  Sr.",1223,14464,NA
"Whittaker  Bob",1224,14670,NA
"Whitten  Jamie L.",1225,10075,NA
"Williams  Lyle",1230,14671,NA
"Williams  Pat",1231,14672,NA
"Wilson  Charles",1232,14062,NA
"Winn  Larry  Jr.",1235,11057,NA
"Wirth  Timothy",1236,14282,NA
"Wolf  Frank R.",1238,14869,NA
"Wolpe  Howard E.",1240,14673,NA
"Won Pat  Antonio B.",1241,NA5,NA
"Wortley  George C.",1243,14870,NA
"Wright  James C.  Jr.",1244,10391,NA
"Wyden  Ron",1247,14871,NA
"Wylie  Chalmers P.",1249,11058,NA
"Yates  Sidney R.",1252,10421,NA
"Yatron  Gus",1253,12035,NA
"Young  C.W. Bill",1255,13047,NA
"Young  Don",1256,14066,NA
"Young  Robert A.",1259,14465,NA
"Zablocki  Clement J.",1261,10463,NA
"Zeferetti  Leo C.",1262,14283,NA
