"Col1","Col2","Col3"
"Sisk  B. F.",1061,8549
"Skubitz  Joe",1065,10625
"Slack  John",1066,8564
"Smith  Henry P.  III",1073,10771
"Smith  Neal Edward",1079,8672
"Snyder  M. G. (Gene)",1086,10626
"Spence  Floyd",1091,13042
"St Germain  Fernand J.",1093,10561
"Staggers  Harley O.",1096,8824
"Stanton  J. William",1099,10773
"Stanton  James V.",1100,13043
"Stark  Fortney Pete",1101,14053
"Steed  Tom",1104,8866
"Steele  Robert H.",1105,12047
"Steelman  Alan",1106,14054
"Steiger  Sam",1108,11050
"Steiger  William A.",1109,11051
"Stephens  Robert G.  Jr.",1111,10563
"Stokes  Louis",1115,12030
"Stratton  Samuel S.",1117,9017
"Stubblefield  Frank A.",1119,9056
"Stuckey  W. S. (Bill)  Jr.",1120,11052
"Studds  Gerry E.",1121,14055
"Sullivan  Leonor K. (Mrs. John B.)",1124,9072
"Symington  James W.",1131,12031
"Symms  Steven D.",1132,14056
"Talcott  Burt L.",1134,10631
"Taylor  G.",1143,14057
"Taylor  Roy A.",1144,9230
"Teague  Charles M.",1145,9240
"Teague  Olin E.",1146,9241
"Thompson  Frank  Jr.",1152,9322
"Thomson  Vernon W.",1153,10564
"Thone  Charles",1154,13045
"Thornton  Ray",1156,14058
"Tiernan  Robert O.",1159,11061
"Towell  David",1164,14059
"Traxler  Bob",1167,14075
"Treen  David C.",1168,14060
"Udall  Morris K.",1173,10566
"Ullman  Al",1174,9551
"Van Deerlin  Lionel",1179,10633
"Vander Jagt  Guy",1180,10794
"Vander Veen  Richard F.",1181,14074
"Vanik  Charles A.",1183,9623
"Veysey  Victor V.",1186,13046
"Vigorito  Joseph P.",1187,10778
"Waggoner  Joe D.  Jr.",1191,10567
"Waldie  Jerome R.",1193,10793
"Walsh  William F.",1198,14061
"Wampler  William C.",1200,9802
"Ware  John H.",1202,12048
"Whalen  Charles W.  Jr.",1217,11054
"White  Richard C.",1219,10783
"Whitehurst  G. William",1221,12033
"Whitten  Jamie L.",1225,10075
"Widnall  William B.",1227,10091
"Wiggins  Charles E.",1228,11055
"Williams  Lawrence G.",1229,11056
"Wilson  Charles H.",1233,10640
"Wilson  Charles",1232,14062
"Wilson  Robert C.",1234,10249
"Winn  Larry  Jr.",1235,11057
"Wolff  Lester L.",1239,10784
"Won Pat  Antonio B.",1241,NA
"Wright  James C.  Jr.",1244,10391
"Wyatt  Wendell",1246,10785
"Wydler  John W.",1248,10638
"Wylie  Chalmers P.",1249,11058
"Wyman  Louis C.",1250,10639
"Yates  Sidney R.",1252,10421
"Yatron  Gus",1253,12035
"Young  Andrew",1254,14066
"Young  C.W. Bill",1255,13047
"Young  Don",1256,14063
"Young  Edward",1257,10446
"Young  John",1258,14064
"Young  Samuel H.",1260,14065
"Zablocki  Clement J.",1261,10463
"Zion  Roger H.",1265,11059
"Zwach  John M.",1267,11060
